"","x"
"34","Authenticity in data science up next. Answering what is trust? = authenticity = consumer confidence = we don’t think about it enough #Gitaucon #bnts https://t.co/Kgc2czt3UU"
"35","RT: DataScienceCtrl No-code data science is easier than you think.  Learn how to build models in minutes at #AlteryxInspire. https://t.co/WeEvhddhCb https://t.co/wHVpkrUpjJ"
"36","No-code data science is easier than you think.  Learn how to build models in minutes at #AlteryxInspire. https://t.co/8PnRkwDr5n https://t.co/0lI9OkgRtp"
"37","No-code data science is easier than you think.  Learn how to build models in minutes at #AlteryxInspire. https://t.co/OBklTRvjwn https://t.co/gerfEPBDPv"
"38","@NHSouthernGirl @JimmyJunkCoin @DebbieSVA @GOPChairwoman I think we are starting to get that u are a doctor.   I sell software so data is a big deal.  We call it data science so show us your science on texas covid since March 2021 please doctor."
"39","@lintool I totally agree with this, but I am not sure ""data science == data cleaning/processing"", b/c data science includes modeling. So people can think they do/teach DS without teaching/doing data processing."
"40","@HeavyGrenadier I think econometrics or stats pairs best here. Because those outputs are meant to be looked at by a human. Software engineering style data science less so."
"41","This summer,1st yr #Otterbein students will be reading ""Factfulness: Ten Reasons We’re Wrong About the World–and Why Things Are Better Than You Think,"" a non-fiction book about data science.

 #OtterbeinCommonBook #CommonBook #summerreading #factfulness

https://t.co/fKBxbkIKeF https://t.co/LhfgWSKt3H"
"42","@HeyladyJami @JAXenterCOM what year was #data #science was created as a #job i personally think the person should get 20% compensation for using their data"
"43","@nadindadev In my case it was ""learn a thing that people think you have to be really smart to understand, whether or not that's true"". In my case, that was functional programming. A few years later the hot ticket seemed to be data science. Right now it still seems to be machine learning."
"44","Want to learn how to think like a data scientist? Take our Data Science for Everyone course this summer. Deadline to apply is May 27 for NYU students and May 12 for non-NYU students. Visit our website to apply! https://t.co/3A7qsM1Oy0"
"45","This summer,1st yr #Otterbein students will be reading ""Factfulness: Ten Reasons We’re Wrong About the World–and Why Things Are Better Than You Think,"" a non-fiction book about data science.

 #OtterbeinCommonBook #CommonBook #summerreading #factfulness

https://t.co/fKBxbkIKeF https://t.co/LhfgWSKt3H"
"46","@samayanissanke @_nikhef Just out of interest: would people who left academia 8yrs ago, with zero scientific achievements since then, but lots of real world data science experience even stand a chance, you think? Asking for a friend, obviously."
"47","@geomblog I don’t think in most big name pubs even the journalist writing the story can directly control the headline. Copy editors and data science is usually responsible."
"48","Title: Good Data Scientist, Bad Data Scientist

💬: ""Data Scientist"" is a pretty good language to describe data. I think this is a fair title in terms of how to write a data scientist. The term is ambiguous but as the article points out you don't need to do a data science…"
"49","Model creation and deployment doesn’t need to be so difficult! Find out why your peers think we’re the best software for citizen data scientists. https://t.co/JzthaQ4AJI https://t.co/LSO0RS4Ec0"
"50","I think PyCaret is going to be the next sklearn for ML and data science in Python."
"51","@blenster @integgroll @K3n_5s @bink I didn't think I had a favorite until I worked in Python for data science for a year and then got a job that wanted me to work in C#. All I want is to go back to Python... :("
